Name,Innate Cell,Slot 1,Slot 2,ID,Element,Unique,Description
Nayzaga's Fang,Barbed,Utility,Technique,Nayzaga War Pike,Shock,+5% lifesteal vs wounded parts,
Storm Sword,Energized,Mobility,Technique,Stormclaw Sword,Shock,"""After dodging through an attack",
Storm Hammer,Aetheric Attunement,Mobility,Power,Stormclaw Hammer,Shock,Reloads 3 hammer ammo after dodging through an attack,
Storm Blades,Energized,Mobility,Technique,Stormclaw Chainblades,Shock,"""After dodging through an attack",
Storm Cutter,Energized,Mobility,Power,Stormclaw Axe,Shock,"""After dodging through an attack",
Storm Pike,Energized,Mobility,Technique,Stormclaw War Pike,Shock,"""After dodging through an attack",
Kharabak's Spur,Bladestorm,Technique,Mobility,Kharabak Sword,Terra,,
Kharabak's Jaw,Deconstruction,Technique,Power,Kharabak Hammer,Terra,,
Kharabak's Wings,Bladestorm,Technique,Mobility,Kharabak Chainblades,Terra,,
Kharabak's Claw,Deconstruction,Technique,Power,Kharabak Axe,Terra,,
Kharabak's Sting,Bladestorm,Technique,Mobility,Kharabak War Pike,Terra,,
Sovreign's Torment,Sharpened,Power,Utility,Koshai Sword,Terra,"""After not dealing damage for 6 seconds",
Sovreign's Grudge,Sharpened,Power,Utility,Koshai Hammer,Terra,"""After not dealing damage for 6 seconds",
Sovreign's Lash,Sharpened,Power,Utility,Koshai Chainblades,Terra,"""After not dealing damage for 6 seconds",
Sovreign's Wrath,Sharpened,Power,Utility,Koshai Axe,Terra,"""After not dealing damage for 6 seconds",
Sovreign's Sorrow,Sharpened,Power,Utility,Koshai War Pike,Terra,"""After not dealing damage for 6 seconds",
Rockfall's Rancor,Knockout King,Defence,Power,Skarn Sword,Terra,"""Dealing damage has a chance (based on damage dealt) to grant a stacking ",
Rockfall's Wrath,Knockout King,Defence,Power,Skarn Hammer,Terra,"""Dealing damage has a chance (based on damage dealt) to grant a stacking ",
Rockfall's Malice,Weighted Strikes,Defence,Technique,Skarn Chainblades,Terra,"""Dealing damage has a chance (based on damage dealt) to grant a stacking ",
Rockfall's Judgement,Knockout King,Defence,Power,Skarn Axe,Terra,"""Dealing damage has a chance (based on damage dealt) to grant a stacking ",
Rockfall's Spite,Weighted Strikes,Defence,Technique,Skarn War Pike,Terra,"""Dealing damage has a chance (based on damage dealt) to grant a stacking ",
Raging Blade,Ragehunter,Utility,Defence,Gnasher Sword,Neutral,,
Raging Crash,Ragehunter,Utility,Utility,Gnasher Hammer,Neutral,,
Raging Teeth,Ragehunter,Utility,Technique,Gnasher Chainblades,Neutral,,
Raging Bite,Ragehunter,Utility,Power,Gnasher Axe,Neutral,,
Raging Cruelty,Ragehunter,Utility,Defence,Gnasher War Pike,Neutral,,
Quillshot's Tusk,Acidic,Defence,Technique,Quillshot Sword,Neutral,,
Quillshot's Roar,Acidic,Defence,Power,Quillshot Hammer,Neutral,,
Quillshot's Bonehooks,Acidic,Defence,Technique,Quillshot Chainblades,Neutral,,
Quillshot's Fury,Acidic,Defence,Power,Quillshot Axe,Neutral,,
Quillshot's Javelin,Acidic,Defence,Technique,Quillshot War Pike,Neutral,,
Cry of the Shrike,Conditioning,Mobility,Mobility,Shrike Sword,Neutral,+100 part damage on next hit after a dodge.,
Fall of the Shrike,Conditioning,Mobility,Power,Shrike Hammer,Neutral,+100 part damage on next hit after a dodge.,
Flight of the Shrike,Conditioning,Mobility,Technique,Shrike Chainblades,Neutral,+100 part damage on next hit after a dodge.,
Song of the Shrike,Conditioning,Mobility,Power,Shrike Axe,Neutral,+100 part damage on next hit after a dodge.,
Scream of the Shrike,Conditioning,Mobility,Technique,Shrike War Pike,Neutral,+100 part damage on next hit after a dodge.,
Eyes of Night,Cunning,Utility,Technique,Shroud Sword,Umbral,"""When under 20% health",
Fall of Night,Cunning,Utility,Power,Shroud Hammer,Umbral,"""When under 20% health",
Verge of Night,Cunning,Utility,Power,Shroud Chainblades,Umbral,"""When under 20% health",
Reaper of Night,Cunning,Utility,Power,Shroud Axe,Umbral,"""When under 20% health",
Gyre of Night,Cunning,Utility,Technique,Shroud War Pike,Umbral,"""When under 20% health",
Stalker's Strike,Wild Frenzy,Technique,Utility,Riftstalker Sword,Umbral,"""Dealing damage has a chance (based on damage dealt) to generate a Shadow Orb that increases damage dealt by 2.5% for 5 seconds.If 5 or more Orbs are present",
Stalker's Price,Wild Frenzy,Technique,Utility,Riftstalker Hammer,Umbral,"""Dealing damage has a chance (based on damage dealt) to generate a Shadow Orb that increases damage dealt by 2.5% for 5 seconds.If 5 or more Orbs are present",
Stalker's Trap,Wild Frenzy,Technique,Utility,Riftstalker Chainblades,Umbral,"""Dealing damage has a chance (based on damage dealt) to generate a Shadow Orb that increases damage dealt by 2.5% for 5 seconds.If 5 or more Orbs are present",
Stalker's Mercy,Wild Frenzy,Technique,Utility,Riftstalker Axe,Umbral,"""Dealing damage has a chance (based on damage dealt) to generate a Shadow Orb that increases damage dealt by 2.5% for 5 seconds.If 5 or more Orbs are present",
Stalker's Spike,Wild Frenzy,Technique,Utility,Riftstalker War Pike,Umbral,"""Dealing damage has a chance (based on damage dealt) to generate a Shadow Orb that increases damage dealt by 2.5% for 5 seconds.If 5 or more Orbs are present",
Call of Dawn,Cunning,Technique,Utility,Rezakiri Sword,Radiant,10% chance for attacks to Hit twice.,
Break of Dawn,Cunning,Power,Mobility,Rezakiri Hammer,Radiant,10% chance for attacks to Hit twice.,
Fangs of Dawn,Cunning,Technique,Power,Rezakiri Chainblades,Radiant,10% chance for attacks to Hit twice.,
Edge of Dawn,Cunning,Power,Mobility,Rezakiri Axe,Radiant,10% chance for attacks to Hit twice.,
Spire of Dawn,Cunning,Technique,Power,Rezakiri War Pike,Radiant,10% chance for attacks to Hit twice.,
Valomyr's Regard,Aetherhunter,Power,Utility,Valomyr Sword,Radiant,"""Once charged",
Valomyr's Burden,Aetherhunter,Power,Utility,Valomyr Hammer,Radiant,"""Once charged",
Valomyr's Revenge,Aetherhunter,Power,Utility,Valomyr Chainblades,Radiant,"""Once charged",
Valomyr's Decree,Aetherhunter,Power,Utility,Valomyr Axe,Radiant,"""Once charged",
Valomyr's Hope,Aetherhunter,Power,Utility,Valomyr War Pike,Radiant,"""Once charged",
